"emp_id","display_name","loc","latitude","longitude","job","review_count","avg_salary","avg_envir_rating","avg_social_rating"
"1","Private employer","Sinza, Dar es Salaam","-6.781719","39.223102","House Cleaning","3","90.00","2.33","2.33"
"2","Private employer","Kimara, Dar es Salaam","-6.802101","39.171333","Gardener","4","115.00","2.75","2.25"
"3","Neema & Co.","Kariakoo, Dar es Salaam","-6.820376","39.274947","Small Grocery Stall","5","60.00","3.00","3.00"
"4","Private employer","Stone Town, Zanzibar","-6.162658","39.190012","Night Watchman","3","91.67","2.00","1.67"
"5","Private employer","Sakina, Arusha","-3.352798","36.661261","Childcare","3","150.00","3.67","3.33"
"6","Private employer","Uyole, Mbeya","-8.917188","33.527950","Carpentry","6","305.00","3.17","3.17"
"7","Private employer","Ilala, Dar es Salaam","-6.827424","39.261227","Laundry","3","80.00","2.33","2.33"
"8","Private employer","Igogo, Mwanza","-2.711136","33.699403","Motorbike Repair","4","205.00","2.75","2.75"
"9","Private employer","Morogoro Town, Morogoro","-6.827707","37.665423","Domestic Worker","2","97.50","2.00","1.50"
"10","Private employer","Sokoni One Market, Arusha","-3.366670","36.683330","Vegetable Seller","4","67.50","3.00","3.00"
"11","Kilimanjaro Coffee Ltd.","Hai District, Kilimanjaro","-3.333030","37.142985","Coffee Processing","10","713.00","3.00","2.90"
"12","Serengeti Textiles","Moshi Industrial Area, Kilimanjaro","-3.348646","37.343525","Manufacturing","8","526.25","2.63","2.63"
"13","Safari Logistics","Sekei Ward, Arusha","-3.363589","36.700913","Transport & Logistics","7","614.29","2.86","2.43"
"14","East Africa Health Group","Oysterbay, Dar es Salaam","-6.768599","39.280467","Healthcare","9","1204.44","3.00","2.89"
"15","Green Energy Tanzania","Kilombero District, Morogoro","-8.355307","36.074718","Renewable Energy","8","1001.88","2.75","2.75"
"16","Private employer","Tabata, Dar es Salaam","-6.830102","39.225411","Food Vendor","3","100.00","2.33","2.33"
"17","Private employer","Makumbusho, Dar es Salaam","-6.788540","39.249418","Barber","2","82.50","2.00","2.50"
"18","Private employer","Mwenge, Dar es Salaam","-6.766664","39.231338","Tailoring","3","140.00","2.67","2.33"
"19","Zanzibar Spice Traders","Kizimbani, Zanzibar","-5.055354","39.734529","Spice Exporter","6","655.00","3.17","3.00"
"20","Private employer","Ubungo Bus Terminal, Dar es Salaam","-6.791800","39.211216","Motorcycle Taxi Rider","5","132.00","3.00","2.40"
